,,Geometric Mean GFP,,,,,all values,,,w/o outliers (gray),
TF1,TF2,Repeat1,Repeat2,Repeat3,Repeat4,,Median ,fold change,,Median,fold change
Brd4 wt,Brd4 wt,440,803,794,914,,798.5,1.88,,803,1.89
HSF1m 7x,HSF1m wt,1047,661,631,1080,,854,2.01,,854,2.01
cmyc 7x,cmyc 5x,658,686,702,393,,672,1.58,,686,1.61
Brd4 5x,Brd4 wt,728,803,873,1044,,838,1.97,,838,1.97
HSF1m 5x,HSF1m 5x,1396,1184,1160,1954,,1290,3.04,,1290,3.04
cmyc 7x,cmyc 7x,683,681,716,545,,682,1.6,,683,1.61
Brd4 7x,Brd4 wt,758,843,867,906,,855,2.01,,855,2.01
HSF1m 7x,HSF1m 5x,1369,1229,1203,1350,,1289.5,3.03,,1289.5,3.03
Brd4 wt,HSF1m wt,1062,1116,1084,895,,1073,2.52,,1084,2.55
Brd4 5x,Brd4 5x,943,961,903,1138,,952,2.24,,952,2.24
HSF1m 7x,HSF1m 7x,1109,1166,1085,1410,,1137.5,2.68,,1137.5,2.68
Brd4 5x,HSF1m wt,1110,1061,1022,1006,,1041.5,2.45,,1041.5,2.45
Brd4 7x,Brd4 5x,895,844,872,1128,,883.5,2.08,,872,2.05
cmyc wt,cmyc wt,723,670,640,801,,696.5,1.64,,696.5,1.64
Brd4 7x,HSF1m wt,1164,1010,1017,998,,1013.5,2.38,,1013.5,2.38
Brd4 7x,Brd4 7x,829,820,815,1051,,824.5,1.94,,820,1.93
cmyc 5x,cmyc wt,713,606,637,794,,675,1.59,,675,1.59
Brd4 wt,HSF1m 5x,1053,1087,1110,789,,1070,2.52,,1087,2.56
HSF1m wt,HSF1m wt,995,1060,1118,1690,,1089,2.56,,1089,2.56
cmyc 7x,cmyc wt,726,543,592,701,,646.5,1.52,,646.5,1.52
Brd4 5x,HSF1m 5x,1175,1207,1203,917,,1189,2.8,,1203,2.83
HSF1m 5x,HSF1m wt,556,795,967,1158,,881,2.07,,967,2.28
cmyc 5x,cmyc 5x,572,383,393,684,,482.5,1.14,,482.5,1.14
Brd4 7x,HSF1m 5x,1186,1180,921,561,,1050.5,2.47,,1180,2.78
Brd4 wt,HSF1m 7x,474,764,915,959,,839.5,1.98,,915,2.15
Brd4 7x,cmyc 5x,646,401,327,669,,523.5,1.23,,523.5,1.23
HSF1m 5x,cmyc 5x,1141,1346,1156,n/a,,1156,2.72,,1156,2.72
Brd4 5x,HSF1m 7x,935,1003,1062,1017,,1010,2.38,,1010,2.38
Brd4 wt,cmyc 7x,842,684,629,826,,755,1.78,,755,1.78
HSF1m 7x,cmyc 5x,1143,1057,1116,1023,,1086.5,2.56,,1086.5,2.56
Brd4 7x,HSF1m 7x,1002,1048,1046,1094,,1047,2.46,,1047,2.46
Brd4 5x,cmyc 7x,756,790,718,869,,773,1.82,,773,1.82
HSF1m wt,cmyc 7x,1043,1101,1054,981,,1048.5,2.47,,1048.5,2.47
Brd4 wt,cmyc wt,655,734,836,781,,757.5,1.78,,757.5,1.78
Brd4 7x,cmyc 7x,714,636,564,733,,675,1.59,,675,1.59
HSF1m 5x,cmyc 7x,1135,1181,1304,1217,,1199,2.82,,1199,2.82
Brd4 5x,cmyc wt,677,780,766,737,,751.5,1.77,,751.5,1.77
HSF1m wt,cmyc wt,1069,936,820,1127,,1002.5,2.36,,1002.5,2.36
HSF1m 7x,cmyc 7x,1027,970,1105,938,,998.5,2.35,,998.5,2.35
Brd4 7x,cmyc wt,624,693,687,697,,690,1.62,,690,1.62
HSF1m 5x,cmyc wt,1194,1037,814,1122,,1079.5,2.54,,1079.5,2.54
Brd4 wt,cmyc 5x,647,654,715,799,,684.5,1.61,,684.5,1.61
HSF1m 7x,cmyc wt,961,895,642,1163,,928,2.18,,928,2.18
Brd4 5x,cmyc 5x,421,682,771,679,,680.5,1.6,,680.5,1.6
HSF1m wt,cmyc 5x,871,530,410,737,,633.5,1.49,,633.5,1.49
empty wt,empty wt,596,522,567,542,,554.5,1.3,,554.5,1.3
iRFP,iRFP,407,398,410,310,,425,,,425,
iRFP,iRFP,469,448,481,440,,,,,,
