,activator1,affinity1,activator2,affinity2,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundpart,background,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.00527336,nFC1,nFC2,nFC3
1,Tat,ZF(WT),Tat,ZF(WT),pKC-15,pKC-15,SS,,206,225,210,230,,216.8333333,1.037663336,0.96848578,1.060722521,44569,44661,46863,45364.33333,45364.33333,45364.33333,0.004959844,0.004629187,0.005070062,,0.940547214,0.877844066,0.961448263
2,Tat,ZF(WT),cMyc,ZF(WT),pKC-15,pKC-10,SS,,206,319,311,328,,,1.471176019,1.434281322,1.512682552,45681,45117,47233,46010.33333,46010.33333,46010.33333,0.006933225,0.006759351,0.007128833,,1.31476435,1.281792203,1.351858015
3,Tat,ZF(WT),BRD4,ZF(WT),pKC-15,pKC-9,SS,,206,349,343,366,,,1.60953113,1.581860108,1.68793236,44260,43699,45044,44334.33333,44334.33333,44334.33333,0.007872003,0.007736668,0.008255453,,1.492787057,1.467123096,1.565501613
4,Tat,ZF(WT),SP1,ZF(WT),pKC-15,pKC-14,SS,,206,520,506,537,,,2.398155265,2.333589547,2.476556495,45802,43997,45965,45254.66667,45254.66667,45254.66667,0.011490528,0.011181167,0.01186618,,2.178976716,2.120311958,2.250212493
5,Tat,ZF(WT),HSF1m,ZF(WT),pKC-15,pKC-12,SS,,206,585,586,634,,,2.697924674,2.702536511,2.923904689,43333,44220,44965,44172.66667,44172.66667,44172.66667,0.013243484,0.013266122,0.014352767,,2.511394069,2.51568705,2.721750153
6,Tat,ZF(WT),VP16m,ZF(WT),pKC-15,pKC-17,SS,,206,1865,1869,1955,,,8.601076096,8.619523444,9.01614143,42112,42693,43300,42701.66667,42701.66667,42701.66667,0.04367511,0.043768783,0.045782756,,8.282217403,8.299980872,8.681895455
7,Tat,ZF(WT),HSF1,ZF(WT),pKC-15,pKC-11,SS,,206,751,859,828,,,3.463489624,3.961568025,3.818601076,47784,47006,47784,47524.66667,47524.66667,47524.66667,0.01580232,0.018074824,0.017422531,,2.99663242,3.427572901,3.303877022
8,Tat,ZF(WT),VP16,ZF(WT),pKC-15,pKC-16,SS,,206,1939,1992,2041,,,8.942352038,9.186779401,9.412759417,45469,45717,47449,46211.66667,46211.66667,46211.66667,0.041959101,0.043105998,0.044166336,,7.956806438,8.174295216,8.375369747
9,Tat,ZF(WT),empty,ZF(WT),pKC-15,pKC-300,SS,,206,342,300,289,,,1.577248271,1.383551115,1.332820907,44013,46074,45536,45207.66667,45207.66667,45207.66667,0.007565089,0.006636043,0.006392721,,1.434586138,1.258408893,1.212267234
10,Tat,ZF(WT),-,-,pKC-15,SS,SS,,206,250,214,206,,,1.152959262,0.986933128,0.950038432,39024,40769,40171,39988,39988,39988,0.006251876,0.005351605,0.005151545,,1.185558371,1.014837966,0.976900098
