,activator1,affinity1,activator2,affinity2,PCR tube,#1,#2,#3,#4,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,backgroundGFP,GFPfa1,GFPfa2,GFPfa3,geometricmeanIRFP1,geometricmeanIRFP2,geometricmeanIRFP3,avg1,avg2,avg3,ratio (GFP/IRFP)1,ratio (GFP/IRFP)2,ratio (GFP/IRFP)3,0.005249778,nFC1,nFC2,nFC3
1,Tat,ZF(WT),Tat,ZF(WT),0-1,pKC-15,pKC-15,SS,,206,280,255,248,238.6666667,1.173184357,1.068435754,1.039106145,48042,50135,50071,49416,49416,49416,0.005666181,0.005160272,0.005018617,,1.079318204,0.982950508,0.955967552
2,Tat,ZF(WT),cMyc,ZF(WT),,pKC-15,pKC-10,SS,,206,403,358,344,,1.688547486,1.5,1.441340782,52190,52674,52993,52619,52619,52619,0.00765883,0.006803626,0.006537562,,1.458886532,1.295983569,1.245302648
3,Tat,ZF(WT),BRD4,ZF(WT),,pKC-15,pKC-9,SS,,206,478,418,406,,2.002793296,1.751396648,1.701117318,49482,50483,49619,49861.33333,49861.33333,49861.33333,0.009586587,0.00838325,0.008142582,,1.826093742,1.596876954,1.551033596
4,Tat,ZF(WT),SP1,ZF(WT),,pKC-15,pKC-14,SS,,206,638,560,541,,2.673184357,2.346368715,2.266759776,49313,50055,51577,50315,50315,50315,0.012680115,0.011129882,0.010752261,,2.415362175,2.120067113,2.048136264
5,Tat,ZF(WT),HSF1m1,ZF(WT),,pKC-15,pKC-12,SS,,206,744,667,655,,3.117318435,2.794692737,2.744413407,47634,48976,48433,48347.66667,48347.66667,48347.66667,0.01538854,0.013795909,0.013547707,,2.931274403,2.627903261,2.580624642
6,Tat,ZF(WT),VP16m,ZF(WT),,pKC-15,pKC-17,SS,,206,2111,1974,2075,,8.844972066,8.27094972,8.694134077,45895,48847,47734,47492,47492,47492,0.044449592,0.041564895,0.043691569,,8.466946846,7.917457638,8.322555521
7,Tat,ZF(WT),HSF1,ZF(WT),,pKC-15,pKC-11,SS,,206,909,840,861,,3.808659217,3.519553072,3.607541899,49736,51799,51264,50933,50933,50933,0.017846975,0.016492255,0.016904561,,3.399567628,3.14151464,3.220052506
8,Tat,ZF(WT),VP16,ZF(WT),,pKC-15,pKC-16,SS,,206,2108,2051,2093,,8.832402233,8.593575418,8.769553071,51282,49618,49893,50264.33333,50264.33333,50264.33333,0.041938286,0.040804281,0.041639864,,7.988582763,7.772572698,7.931738009
9,Tat,ZF(WT),empty,ZF(WT),0-2,pKC-15,pKC-300,SS,,206,350,343,347,,1.466480447,1.437150838,1.453910614,50250,51693,53852,51931.66667,51931.66667,51931.66667,0.006739626,0.006604833,0.006681858,,1.283792525,1.258116675,1.272788589
10,Tat,ZF(WT),-,-,,pKC-15,SS,SS,,206,240,242,263,,1.005586592,1.01396648,1.101955307,45714,45710,47427,46283.66667,46283.66667,46283.66667,0.005185415,0.005228626,0.00568235,,0.987739778,0.995970942,1.082398173
11,cMyc,ZF(WT),cMyc,ZF(WT),,pKC-10,pKC-10,SS,,206,201,201,206,,0.842178771,0.842178771,0.863128491,25512,25313,26210,25678.33333,25678.33333,25678.33333,0.007827611,0.007827611,0.008022328,,1.491036533,1.491036533,1.528126994
12,cMyc,ZF(WT),BRD4,ZF(WT),,pKC-10,pKC-9,SS,,206,429,440,468,,1.797486033,1.843575419,1.960893854,48979,49828,50127,49644.66667,49644.66667,49644.66667,0.008641412,0.008862986,0.009426995,,1.646052764,1.688259245,1.795693924
13,cMyc,ZF(WT),SP1,ZF(WT),,pKC-10,pKC-14,SS,,206,573,589,629,,2.400837988,2.467877095,2.63547486,49413,49707,50976,50032,50032,50032,0.01145267,0.011772466,0.012571954,,2.181553245,2.242469217,2.394759147
14,cMyc,ZF(WT),HSF1m1,ZF(WT),,pKC-10,pKC-12,SS,,206,675,679,724,,2.82821229,2.844972067,3.033519553,49114,49826,49954,49631.33333,49631.33333,49631.33333,0.013600279,0.013680874,0.014587559,,2.590638942,2.605990876,2.778700139
15,cMyc,ZF(WT),VP16m,ZF(WT),,pKC-10,pKC-17,SS,,206,1792,1650,1786,,7.508379887,6.91340782,7.483240222,48608,51821,50081,50170,50170,50170,0.035718557,0.03288818,0.035598964,,6.803822318,6.264680148,6.781041663
16,cMyc,ZF(WT),HSF1,ZF(WT),,pKC-10,pKC-11,SS,,206,893,834,860,,3.741620111,3.494413407,3.603351955,51996,53129,52755,52626.66667,52626.66667,52626.66667,0.016968584,0.015847479,0.016341525,,3.232247849,3.018695079,3.112803079
17,cMyc,ZF(WT),VP16,ZF(WT),0-3,pKC-10,pKC-16,SS,,206,1982,1772,1847,,8.304469273,7.424581005,7.738826815,52879,54719,52268,53288.66667,53288.66667,53288.66667,0.03719365,0.033252849,0.034660278,,7.08480425,6.334143861,6.602236857
18,cMyc,ZF(WT),empty,ZF(WT),,pKC-10,pKC-300,SS,,206,349,326,305,,1.462290503,1.365921788,1.277932961,53206,52420,56485,54037,54037,54037,0.006458538,0.006032903,0.005644281,,1.230249667,1.149173041,1.075146557
19,cMyc,ZF(WT),-,-,,pKC-10,SS,SS,,206,391,358,349,,1.638268156,1.5,1.462290503,49065,49066,49047,49059.33333,49059.33333,49059.33333,0.007969941,0.007297286,0.007113835,,1.518148219,1.390018062,1.355073474
20,BRD4,ZF(WT),BRD4,ZF(WT),,pKC-9,pKC-9,SS,,206,486,447,444,,2.036312849,1.872905028,1.860335195,51611,51353,52483,51815.66667,51815.66667,51815.66667,0.009379403,0.008626735,0.008568837,,1.786628421,1.643257004,1.632228434
21,BRD4,ZF(WT),SP1,ZF(WT),,pKC-9,pKC-14,SS,,206,581,559,558,,2.434357542,2.342178771,2.337988826,52506,51786,52517,52269.66667,52269.66667,52269.66667,0.011115433,0.010694539,0.010675408,,2.117314936,2.03714122,2.03349696
22,BRD4,ZF(WT),HSF1m1,ZF(WT),,pKC-9,pKC-12,SS,,206,670,645,624,,2.807262569,2.702513966,2.614525139,51102,51583,52850,51845,51845,51845,0.012923136,0.01244093,0.012035876,,2.461653846,2.369801091,2.292644776
23,BRD4,ZF(WT),VP16m,ZF(WT),,pKC-9,pKC-17,SS,,206,1590,1615,1524,,6.662011172,6.766759776,6.385474859,48728,48155,50746,49209.66667,49209.66667,49209.66667,0.032310725,0.032818755,0.030969525,,6.154684006,6.251455767,5.899206556
24,BRD4,ZF(WT),HSF1,ZF(WT),,pKC-9,pKC-11,SS,,206,754,734,711,,3.159217877,3.075418994,2.979050279,54921,54420,55475,54938.66667,54938.66667,54938.66667,0.013724396,0.013360353,0.012941705,,2.614281141,2.544936813,2.465190837
25,BRD4,ZF(WT),VP16,ZF(WT),0-4,pKC-9,pKC-16,SS,,206,1608,1535,1487,,6.737430167,6.431564245,6.230446927,50513,52173,53513,52066.33333,52066.33333,52066.33333,0.03088368,0.029481623,0.028559722,,5.882854527,5.615784639,5.440177041
26,BRD4,ZF(WT),empty,ZF(WT),,pKC-9,pKC-300,SS,,206,360,342,358,,1.508379888,1.432960894,1.5,51146,52485,52329,51986.66667,51986.66667,51986.66667,0.006924853,0.00657861,0.006886381,,1.3190753,1.253121535,1.311747104
27,BRD4,ZF(WT),-,-,,pKC-9,SS,SS,,206,402,398,429,,1.684357542,1.667597765,1.797486033,45653,48047,47997,47232.33333,47232.33333,47232.33333,0.008511119,0.008426431,0.009082761,,1.621234032,1.60510235,1.730122884
28,SP1,ZF(WT),SP1,ZF(WT),,pKC-14,pKC-14,SS,,206,578,535,606,,2.421787709,2.241620111,2.539106145,51277,52070,52528,51958.33333,51958.33333,51958.33333,0.011124298,0.010296712,0.011663192,,2.119003558,1.961361424,2.221654249
29,SP1,ZF(WT),HSF1m1,ZF(WT),,pKC-14,pKC-12,SS,,206,630,613,656,,2.639664804,2.568435754,2.748603352,51141,51712,52636,51829.66667,51829.66667,51829.66667,0.012155201,0.011827203,0.012656844,,2.315374217,2.252895865,2.410929343
30,SP1,ZF(WT),VP16m,ZF(WT),,pKC-14,pKC-17,SS,,206,1050,976,1043,,4.39944134,4.089385474,4.370111731,48641,51381,51558,50526.66667,50526.66667,50526.66667,0.020781106,0.019316533,0.020642565,,3.958473211,3.679495099,3.93208339
31,SP1,ZF(WT),HSF1,ZF(WT),,pKC-14,pKC-11,SS,,206,679,622,681,,2.844972067,2.606145251,2.853351955,51564,54861,56967,54464,54464,54464,0.012466951,0.011420388,0.012503672,,2.374757672,2.175403935,2.38175254
