activator1,affinity1,activator2,affinity2,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,205.1666667,GFPfa1,GFPfa2,GFPfa3
cMyc,ZF(WT),cMyc,ZF(WT),383,390,357,,1.86677498,1.900893582,1.740048741
cMyc,ZF(WT),BRD4,ZF(WT),431,384,375,,2.100731113,1.871649066,1.827782291
cMyc,ZF(WT),SP1,ZF(WT),535,498,485,,2.607636068,2.427294882,2.363931763
cMyc,ZF(WT),HSF1,ZF(WT),738,688,682,,3.597075548,3.353371243,3.324126726
cMyc,ZF(WT),empty,ZF(WT),314,281,283,,1.530463038,1.369618197,1.379366369
cMyc,ZF(WT),-,-,323,286,295,,1.574329813,1.393988627,1.437855402
BRD4,ZF(WT),BRD4,ZF(WT),450,400,408,,2.193338749,1.949634444,1.988627132
BRD4,ZF(WT),SP1,ZF(WT),555,533,562,,2.70511779,2.597887896,2.739236393
BRD4,ZF(WT),HSF1,ZF(WT),652,623,664,,3.177904143,3.036555646,3.236393176
BRD4,ZF(WT),empty,ZF(WT),322,301,327,,1.569455727,1.467099919,1.593826158
BRD4,ZF(WT),-,-,364,340,378,,1.774167344,1.657189277,1.842404549
SP1,ZF(WT),SP1,ZF(WT),500,475,497,,2.437043054,2.315190902,2.422420796
SP1,ZF(WT),HSF1,ZF(WT),600,576,589,,2.924451665,2.807473599,2.870836718
SP1,ZF(WT),empty,ZF(WT),413,412,423,,2.012997563,2.008123477,2.061738424
SP1,ZF(WT),-,-,478,479,500,,2.32981316,2.334687246,2.437043054
HSF1,ZF(WT),HSF1,ZF(WT),887,846,833,,4.323314379,4.123476848,4.060113729
HSF1,ZF(WT),empty,ZF(WT),477,471,485,,2.324939074,2.295694557,2.363931763
HSF1,ZF(WT),-,-,800,748,752,,3.899268887,3.645816409,3.665312754
empty,ZF(WT),empty,ZF(WT),301,279,271,,1.467099919,1.359870024,1.320877335
empty,ZF(WT),-,-,297,277,274,,1.447603574,1.350121852,1.335499594
-,-,-,-,203,173,176,184,0.98943948,0.843216897,0.857839155
cMyc,ZF(5X),cMyc,ZF(5X),371,367,369,,1.808285946,1.788789602,1.798537774
cMyc,ZF(5X),BRD4,ZF(5X),384,387,401,,1.871649066,1.886271324,1.95450853
cMyc,ZF(5X),SP1,ZF(5X),552,547,570,,2.690495532,2.666125102,2.778229082
cMyc,ZF(5X),HSF1,ZF(5X),670,638,685,,3.265637693,3.109666937,3.338748985
cMyc,ZF(5X),empty,ZF(5X),325,322,342,,1.584077985,1.569455727,1.666937449
cMyc,ZF(5X),-,-,295,292,317,,1.437855402,1.423233144,1.545085297
