,activator1,affinity1,activator2,affinity2,,#1,#2,#3,#5,geometricmeanGFP1,geometricmeanGFP2,geometricmeanGFP3,background,GFPfa1,GFPfa2,GFPfa3
1,HSF1,ZF(WT),cMyc,ZF(WT),1,KC11,KC10,SS,206,645,679,661,244.3333333,2.639836289,2.77899045,2.7053206
2,HSF1,ZF(WT),cMyc,ZF(5X),2,KC11,KC91,SS,206,713,761,745,,2.918144611,3.114597544,3.049113233
3,HSF1,ZF(WT),cMyc,ZF(7X),3,KC11,KC105,SS,206,741,758,746,,3.032742156,3.102319236,3.053206003
4,HSF1,ZF(5X),cMyc,ZF(WT),4,KC92,KC10,SS,206,599,639,636,,2.451568895,2.615279673,2.603001364
5,HSF1,ZF(5X),cMyc,ZF(5X),5,KC92,KC91,SS,206,632,687,691,,2.586630286,2.811732606,2.828103683
6,HSF1,ZF(5X),cMyc,ZF(7X),6,KC92,KC105,SS,206,644,694,706,,2.63574352,2.840381992,2.889495225
7,HSF1,ZF(7X),cMyc,ZF(WT),7,KC106,KC10,SS,206,432,462,468,,1.768076398,1.890859482,1.915416098
8,HSF1,ZF(7X),cMyc,ZF(5X),8,KC106,KC91,SS,206,433,441,449,,1.772169168,1.804911323,1.837653479
9,HSF1,ZF(7X),cMyc,ZF(7X),9,KC106,KC105,SS,206,505,496,478,,2.066848568,2.030013643,1.956343793
10,HSF1,ZF(WT),BRD4,ZF(WT),10,KC11,KC9,SS,206,654,619,617,,2.676671214,2.533424284,2.525238745
11,HSF1,ZF(WT),BRD4,ZF(5X),11,KC11,KC90,SS,206,744,711,680,,3.045020464,2.909959072,2.78308322
12,HSF1,ZF(WT),BRD4,ZF(7X),12,KC11,KC104,SS,206,772,754,709,,3.159618008,3.085948158,2.901773533
13,HSF1,ZF(5X),BRD4,ZF(WT),13,KC92,KC9,SS,206,586,572,536,,2.398362892,2.34106412,2.19372442
14,HSF1,ZF(5X),BRD4,ZF(5X),14,KC92,KC90,SS,206,676,659,600,,2.766712142,2.697135061,2.455661664
15,HSF1,ZF(5X),BRD4,ZF(7X),15,KC92,KC104,SS,206,707,682,640,,2.893587995,2.791268759,2.619372442
16,HSF1,ZF(7X),BRD4,ZF(WT),16,KC106,KC9,SS,206,466,461,417,,1.907230559,1.886766712,1.706684857
17,HSF1,ZF(7X),BRD4,ZF(5X),17,KC106,KC90,SS,206,450,446,441,,1.841746248,1.825375171,1.804911323
18,HSF1,ZF(7X),BRD4,ZF(7X),18,KC106,KC104,SS,206,509,495,479,,2.083219645,2.025920873,1.960436562
19,HSF1,ZF(WT),SP1,ZF(WT),19,KC11,KC14,SS,206,644,623,648,,2.63574352,2.549795362,2.652114598
20,HSF1,ZF(WT),SP1,ZF(5X),20,KC11,KC94,SS,206,773,752,760,,3.163710778,3.077762619,3.110504775
21,HSF1,ZF(WT),SP1,ZF(7X),21,KC11,KC108,SS,206,770,782,767,,3.151432469,3.200545703,3.139154161
22,HSF1,ZF(5X),SP1,ZF(WT),22,KC92,KC14,SS,206,619,632,641,,2.533424284,2.586630286,2.623465211
23,HSF1,ZF(5X),SP1,ZF(5X),23,KC92,KC94,SS,206,712,748,723,,2.914051842,3.061391542,2.959072306
24,HSF1,ZF(5X),SP1,ZF(7X),24,KC92,KC108,SS,206,717,747,721,,2.934515689,3.057298772,2.950886767
25,HSF1,ZF(7X),SP1,ZF(WT),25,KC106,KC14,SS,206,576,609,569,,2.357435198,2.492496589,2.328785812
26,HSF1,ZF(7X),SP1,ZF(5X),26,KC106,KC94,SS,206,633,644,596,,2.590723056,2.63574352,2.439290587
27,HSF1,ZF(7X),SP1,ZF(7X),27,KC106,KC108,SS,206,629,619,598,,2.574351978,2.533424284,2.447476126
28,HSF1,ZF(WT),HSF1m,ZF(WT),28,KC11,KC12,SS,206,724,731,703,,2.963165075,2.991814461,2.877216917
29,HSF1,ZF(WT),HSF1m,ZF(5X),29,KC11,KC93,SS,206,833,793,764,,3.409276944,3.245566166,3.126875853
30,HSF1,ZF(WT),HSF1m,ZF(7X),30,KC11,KC107,SS,206,782,757,736,,3.200545703,3.098226467,3.012278308
31,HSF1,ZF(5X),HSF1m,ZF(WT),31,KC92,KC12,SS,206,743,748,724,,3.040927694,3.061391542,2.963165075
32,HSF1,ZF(5X),HSF1m,ZF(5X),32,KC92,KC93,SS,206,794,805,777,,3.249658936,3.2946794,3.180081855
33,HSF1,ZF(5X),HSF1m,ZF(7X),33,KC92,KC107,SS,206,739,728,722,,3.024556617,2.979536153,2.954979536
34,HSF1,ZF(7X),HSF1m,ZF(WT),34,KC106,KC12,SS,206,654,635,614,,2.676671214,2.598908595,2.512960437
35,HSF1,ZF(7X),HSF1m,ZF(5X),35,KC106,KC93,SS,206,675,658,637,,2.762619372,2.693042292,2.607094134
36,HSF1,ZF(7X),HSF1m,ZF(7X),36,KC106,KC107,SS,206,625,631,582,,2.5579809,2.582537517,2.381991814
37,HSF1,ZF(WT),HSF1,ZF(WT),37,KC11,KC11,SS,206,783,808,837,,3.204638472,3.306957708,3.425648022
38,HSF1,ZF(WT),HSF1,ZF(5X),38,KC11,KC92,SS,206,811,841,835,,3.319236016,3.4420191,3.417462483
39,HSF1,ZF(WT),HSF1,ZF(7X),39,KC11,KC106,SS,206,746,771,774,,3.053206003,3.155525239,3.167803547
40,HSF1,ZF(5X),HSF1,ZF(WT),40,KC92,KC11,SS,206,806,836,837,,3.298772169,3.421555252,3.425648022
41,HSF1,ZF(5X),HSF1,ZF(5X),41,KC92,KC92,SS,206,801,841,832,,3.278308322,3.4420191,3.405184175
